id_customer_main,customer,customer_day
ci_135,โดยปกติแล้วเวลา 08:00 จะมีลูกค้าประมาณ 81% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันจันทร์
ci_135,โดยปกติแล้วเวลา 09:00 จะมีลูกค้าประมาณ 100% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันจันทร์
ci_135,โดยปกติแล้วเวลา 10:00 จะมีลูกค้าประมาณ 75% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันจันทร์
ci_135,โดยปกติแล้วเวลา 11:00 จะมีลูกค้าประมาณ 37% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันจันทร์
ci_135,โดยปกติแล้วเวลา 12:00 จะมีลูกค้าประมาณ 18% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันจันทร์
ci_135,โดยปกติแล้วเวลา 13:00 จะมีลูกค้าประมาณ 6% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันจันทร์
ci_135,โดยปกติแล้วเวลา 14:00 จะมีลูกค้าประมาณ 25% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันจันทร์
ci_135,โดยปกติแล้วเวลา 15:00 จะมีลูกค้าประมาณ 50% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันจันทร์
ci_135,โดยปกติแล้วเวลา 16:00 จะมีลูกค้าประมาณ 62% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันจันทร์
ci_135,โดยปกติแล้วเวลา 17:00 จะมีลูกค้าประมาณ 68% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันจันทร์
ci_135,โดยปกติแล้วเวลา 18:00 จะมีลูกค้าประมาณ 56% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันจันทร์
ci_135,โดยปกติแล้วเวลา 19:00 จะมีลูกค้าประมาณ 56% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันจันทร์
ci_135,โดยปกติแล้วเวลา 20:00 จะมีลูกค้าประมาณ 0% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันจันทร์
